"ID","DisplayRaceID","DisplaySexID","SkinID","FaceID","HairStyleID","HairColorID","FacialHairID","NPCItemDisplay_1","NPCItemDisplay_2","NPCItemDisplay_3","NPCItemDisplay_4","NPCItemDisplay_5","NPCItemDisplay_6","NPCItemDisplay_7","NPCItemDisplay_8","NPCItemDisplay_9","NPCItemDisplay_10","NPCItemDisplay_11","Flags","BakeName"
"23","3","0","1","1","6","3","2","8815","8815","3900","0","8328","5848","8816","0","3052","0","0","0","CreatureDisplayExtra-00023_HD.blp"
"30","1","0","3","3","10","4","6","2952","0","1184","0","0","0","0","0","0","0","0","0","CreatureDisplayExtra-00030_HD.blp"
"32","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","CreatureDisplayExtra-00032_HD.blp"
"36","1","1","0","0","0","0","0","0","5248","5249","5250","4300","4304","4956","3606","5251","3864","0","0","CreatureDisplayExtra-00036.blp"
"43","1","1","2","1","11","3","0","0","0","0","0","0","0","0","0","0","0","0","0","CreatureDisplayExtra-00043_HD.blp"
"45","1","0","0","8","0","0","2","0","7684","7676","7677","7678","7679","7680","0","7702","7683","0","0","CreatureDisplayExtra-00045_HD.blp"
"46","5","0","4","8","0","0","0","15911","0","5305","5306","5307","5308","8355","0","12873","0","0","0","CreatureDisplayExtra-00046_HD.blp"
"47","3","0","6","5","0","6","7","15907","0","5315","0","0","2610","3261","0","5444","0","0","0","CreatureDisplayExtra-00047_HD.blp"
"48","1","1","1","1","1","0","0","5330","5316","5317","5318","0","5320","5331","5322","5332","5324","0","0","CreatureDisplayExtra-00048_HD.blp"
"49","3","0","0","5","0","1","3","15491","0","11417","0","4888","4310","7458","0","0","0","0","0","CreatureDisplayExtra-00049_HD.blp"
"50","3","0","0","3","8","1","1","0","0","5326","0","3553","4310","4307","0","0","0","0","0","CreatureDisplayExtra-00050_HD.blp"
"52","4","0","5","1","3","3","2","0","0","5340","0","0","5341","9915","0","0","0","0","0","CreatureDisplayExtra-00052_HD.blp"
"53","3","1","2","1","3","3","0","0","0","5343","0","5344","1818","4586","0","0","0","0","0","CreatureDisplayExtra-00053_HD.blp"
"54","1","0","4","10","3","9","2","0","0","0","5345","0","5346","5347","3897","0","0","0","0","CreatureDisplayExtra-00054_HD.blp"
"56","1","1","3","2","14","0","0","0","0","13620","0","7619","2318","5856","0","13621","0","0","0","CreatureDisplayExtra-00056_HD.blp"
"57","1","0","2","10","6","1","4","0","0","0","5350","0","5297","5351","0","0","0","0","0","CreatureDisplayExtra-00057_HD.blp"
"58","1","0","1","2","1","4","1","0","0","13516","13517","4989","1882","6060","5355","0","0","0","0","CreatureDisplayExtra-00058_HD.blp"
